,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
35,DOORS AGENCY MOSCOW,real_estate_agent,https://www.cian.ru/sale/flat/301577858/,Москва,sale,flat,22,22,1,38.6,-1,0,11000000,Марьино,Мячковский бульвар,31/19,Марьино,
36,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295758505/,Москва,sale,flat,6,9,1,32.8,-1,0,8900000,Печатники,Шоссейная ,3,Печатники,
37,OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/298285470/,Москва,sale,flat,16,23,1,38.2,-1,0,12990000,, Анны Ахматовой,11к1,Рассказовка,Городские истории (Рассказовка)
38,Ольга Троицкая,realtor,https://www.cian.ru/sale/flat/299702158/,Москва,sale,flat,3,16,1,39.0,-1,0,7000000,, Дмитрия Кабалевского,20,Ватутинки,
39,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300313530/,Москва,sale,flat,12,17,1,41.6,-1,0,8900000,Косино-Ухтомский,Лухмановская ,15к4,Лухмановская,
40,ID 83387926,homeowner,https://www.cian.ru/sale/flat/301426347/,Москва,sale,flat,4,5,1,32.7,-1,0,10900000,Котловка,Нагорная ,35К1,Нагорная,
41,МГСН,real_estate_agent,https://www.cian.ru/sale/flat/301456003/,Москва,sale,flat,7,14,1,39.0,-1,0,9600000,Коньково, Бутлерова,38К3,Беляево,
42,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299740960/,Москва,sale,flat,15,17,1,34.6,-1,0,9000000,Ясенево, Инессы Арманд,7,Новоясеневская,
43,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297263854/,Москва,sale,flat,2,14,1,38.3,-1,0,9300000,Южное Бутово,Изюмская ,49к4,Бутово,
44,ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/294760157/,Москва,sale,flat,5,16,1,20.3,-1,0,7000000,Очаково-Матвеевское,Аминьевское шоссе,17,Давыдково,
45,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299722483/,Москва,sale,flat,6,13,1,26.8,-1,0,10300000,Таганский,Волгоградский проспект,1С1,Пролетарская,
46,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298984231/,Москва,sale,flat,15,22,1,38.6,-1,0,12100000,Чертаново Центральное,Кировоградская ,30,Пражская,
47,ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301647536/,Москва,sale,flat,3,12,1,36.0,-1,0,13500000,Новогиреево,Союзный проспект,20К4,Новогиреево,
48,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299469625/,Москва,sale,flat,8,17,1,38.0,-1,0,10000000,Северное Бутово, Грина,9,Бульвар Дмитрия Донского,
49,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298527999/,Москва,sale,flat,3,9,1,38.7,-1,0,10500000,Перово, Плеханова,26К4,Перово,
50,ID 661447,homeowner,https://www.cian.ru/sale/flat/301621260/,Москва,sale,flat,14,25,1,42.1,-1,0,13900000,Покровское-Стрешнево, Большая Набережная,19к2,Тушинская,
51,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299776431/,Москва,sale,flat,12,12,1,38.7,-1,0,9200000,Орехово-Борисово Южное,Домодедовская ,38К2,Домодедовская,
52,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297727983/,Москва,sale,flat,25,25,1,46.3,-1,0,15500000,Левобережный,Валдайский проезд,10к1,Беломорская,
53,ID 87697228,homeowner,https://www.cian.ru/sale/flat/301594873/,Москва,sale,flat,14,17,1,38.0,-1,0,13000000,Северное Медведково,Студеный проезд,4К6,Медведково,
54,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295294075/,Москва,sale,flat,6,12,1,35.2,-1,0,10500000,Преображенское,2-я Пугачевская ,9К1,Преображенская площадь,
55,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297902239/,Москва,sale,flat,13,16,1,37.5,-1,0,10300000,Бибирево,Белозерская ,17,Бибирево,
