author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 413522,realtor,https://www.cian.ru/sale/flat/301754881/,Москва,sale,flat,7,8,2,142.8,-1,0,213700000,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/295932608/,Москва,sale,flat,3,9,2,148.5,-1,0,230000000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300067196/,Москва,sale,flat,4,5,2,45.0,-1,0,5600000,,,6,Подольск,
ID 55045676,unknown,https://www.cian.ru/sale/flat/301268276/,Москва,sale,flat,6,6,2,30.0,-1,0,6850000,Марьино, Перерва,16,Перерва,Апарт-комплекс 16 Уровень
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/299166358/,Москва,sale,flat,2,3,2,51.8,-1,0,7400000,, Борисоглебская Слобода,12к2,Апрелевка,Борисоглебское
Доступная Недвижимость Офис Сретенский,real_estate_agent,https://www.cian.ru/sale/flat/296710894/,Москва,sale,flat,1,5,2,45.3,-1,0,7500000,,,13,Бунинская аллея,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301638586/,Москва,sale,flat,4,12,2,31.1,-1,0,7700000,, Уточкина,5к2,Силикатная,Алхимово
Елена Сенотрусова,realtor,https://www.cian.ru/sale/flat/301492005/,Москва,sale,flat,1,9,2,35.0,-1,0,7700000,,,5,Аэропорт Внуково,
ID 113384895,homeowner,https://www.cian.ru/sale/flat/301005919/,Москва,sale,flat,12,12,2,39.3,-1,0,7800000,Солнцево, Авиаторов,11К1,Солнцево,
ID 248068,unknown,https://www.cian.ru/sale/flat/301867961/,Москва,sale,flat,1,3,2,40.5,-1,0,8000000,,бульвар Светлый,13к4,Филатов Луг,Рутаун
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/300510347/,Москва,sale,flat,2,3,2,52.5,-1,0,8200000,, Борисоглебская Слобода,18,Апрелевка,Борисоглебское
ID 522604,realtor,https://www.cian.ru/sale/flat/301878155/,Москва,sale,flat,1,5,2,47.0,-1,0,9000000,Фили-Давыдково, Ватутина,10,Кунцевская,
Татьяна Ефимова,realtor,https://www.cian.ru/sale/flat/300662115/,Москва,sale,flat,1,9,2,45.6,-1,0,9250000,Марьино,Новочеркасский бульвар,11,Марьино,
Дмитрий  Кувшинов,realtor,https://www.cian.ru/sale/flat/301853596/,Москва,sale,flat,1,9,2,45.2,-1,0,9400000,Бирюлево Западное,Харьковская ,8К1,Пражская,
